"_id","date","timeStamp","iot_deviceid","bms_deviceid","bms_temperature_max","bms_temperature_min","bms_pack_capacity","battery_voltage","battery_current","can_communication_flag","battery_soc","battery_soh","cell_voltages","cell_temp","no_of_cells","pack_total_capacity","cell_voltage_difference","charge_discharge_cycles","charge_discharge_status","fet_charge_state","fet_discharge_state","high_voltage_alarm","low_voltage_alarm","charge_over_current_alarm","discharge_over_current_alarm","charge_high_temperature_alarm","charge_low_temperature_alarm","discharge_high_temperature_alarm","discharge_low_temperature_alarm","total_high_pressure_alarm","total_low_pressure_alarm","latitude","longitude","altitude","speed"
"652c3272c15b54eb4ba64876","2023-10-16","00:11:54","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795629","73.782011","","0.00"
"652c3272c15b54eb4ba64878","2023-10-16","00:11:54","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795629","73.782011","","0.00"
"652c32f2c15b54eb4ba6487a","2023-10-16","00:14:02","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795570","73.782032","","0.00"
"652c32f2c15b54eb4ba6487c","2023-10-16","00:14:02","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795570","73.782032","","0.00"
"652c332ec15b54eb4ba6487e","2023-10-16","00:15:02","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795570","73.782032","","0.00"
"652c332ec15b54eb4ba64880","2023-10-16","00:15:02","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795570","73.782032","","0.00"
"652c336ac15b54eb4ba64882","2023-10-16","00:16:02","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795485","73.782080","","0.00"
"652c336ac15b54eb4ba64884","2023-10-16","00:16:02","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795485","73.782080","","0.00"
"652c33a6c15b54eb4ba64886","2023-10-16","00:17:02","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795480","73.782118","","0.00"
"652c33a7c15b54eb4ba64888","2023-10-16","00:17:03","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795480","73.782118","","0.00"
"652c33e3c15b54eb4ba6488a","2023-10-16","00:18:03","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795490","73.782098","","0.00"
"652c33e3c15b54eb4ba6488c","2023-10-16","00:18:03","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795490","73.782098","","0.00"
"652c341fc15b54eb4ba6488e","2023-10-16","00:19:03","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795490","73.782098","","0.00"
"652c341fc15b54eb4ba64890","2023-10-16","00:19:03","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795490","73.782098","","0.00"
"652c345bc15b54eb4ba64892","2023-10-16","00:20:03","VBIOTP1B100042","12000040","31.00","28.00","31.71","57.20","0.00","1.00","99.10","93.00","4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.08","28.00,28.00,30.00,31.00","14","32.00","0.01","415.00","0.00","1.00","1.00","0","0","0","0","0","0","0","0","0","0","18.795484","73.782076","","0.00"
